,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
1,,,,,,,,,Keith Country Day,"Pecatonica, Ill.",5-8,,,,,,,Allison Ackerman,2.0,,,RS,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
2,,,,*,,,,,HS,"Lisle, Ill.",5-7,,,,,,,Stephanie Petkovsek 2,3.0,,,S,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
3,,,,*,,,,,Hilliard Davidson,"Hilliard, Ohio",5-6,,,,,,,Jordan Hampel 2,4.0,,,S,,,,,Jr.,,,,2014 Women\'s Volleyball Roster
4,,,,,,,,,North Scott,"Eldridge, Iowa",5-5,,,,,,,Hannah Lindaman 1,5.0,,,S,,,,,So.,,,,2014 Women\'s Volleyball Roster
5,,,,,,,,,HS,"Antioch, Ill.",5-6,,,,,,,Amber Dalgaard 2,6.0,,,DS,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
6,,,,,,,,,HS,"Moline, Ill.",5-9,,,,,,,Rachel Butter,7.0,,,OH,,,,,So.,,,,2014 Women\'s Volleyball Roster
7,,,,,,,,,Mother McAuley,"Orland Park, Ill.",5-7,,,,,,,Claire Martin,8.0,,,OH,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
8,,,,,,,,,Burlington Central,"Elgin, Ill.",5-7,,,,,,,Sydney Sand,9.0,,,OH,,,,,Jr.,,,,2014 Women\'s Volleyball Roster
9,,,,,,,,,Clear Creek Amana,"North Liberty, Iowa",5-10,,,,,,,Amy Kalkhoff 1,10.0,,,MH,,,,,So.,,,,2014 Women\'s Volleyball Roster
10,,,,,,,,,Central,"Naperville, Ill.",5-4,,,,,,,Annalise Bauers,11.0,,,DS,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
11,,,,,,,,,St. Bede Academy,"LaSalle, Ill.",5-11,,,,,,,Hailee Brayton 1,12.0,,,MH,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
12,,,,,,,,,HS,"Lake Zurich, Ill.",5-8,,,,,,,Nicole Morrissey 1,13.0,,,RS,,,,,So.,,,,2014 Women\'s Volleyball Roster
13,,,,,,,,,St. Viator,"Mt. Prospect, Ill.",5-9,,,,,,,Emily Leazer 3,14.0,,,OH,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
14,,,,*,,,,,Tremont,"Tremont, Ill.",5-10,,,,,,,Dory Dudley 3,15.0,,,OH/RS,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
15,,,,*,,,,,HS,"Evanston, Ill.",5-10,,,,,,,Martha Murray 2,16.0,,,OH,,,,,Jr.,,,,2014 Women\'s Volleyball Roster
16,,,,,,,,,Chaparral,"Scottsdale, Ariz.",5-5,,,,,,,Julee Morrison 3,17.0,,,DS,,,,,Sr.,,,,2014 Women\'s Volleyball Roster
17,,,,,,,,,York,"Elmhurst, Ill.",5-7,,,,,,,Claudia Zerdin,18.0,,,OH,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
18,,,,,,,,,Beecher,"Beecher, Ill.",5-5,,,,,,,Gabriella Peters,19.0,,,DS,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
19,,,,,,,,,Christian Life,"Lindenhurst, Ill.",5-8,,,,,,,Amanda Stieber,20.0,,,RS,,,,,Jr.,,,,2014 Women\'s Volleyball Roster
20,,,,,,,,,HS,"Buffalo Grove, Ill.",5-9,,,,,,,Paige Smith,21.0,,,OH,,,,,Jr.,,,,2014 Women\'s Volleyball Roster
21,,,,,,,,,Annawan,"Annawan, Ill.",5-6,,,,,,,Uriah Rico,22.0,,,DS,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
22,,,,,,,,,Central,"Camp Point, Ill.",6-0,,,,,,,Maissie Musick,23.0,,,MB,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
23,,,,,,,,,HS,"Manteno, Ill.",6-0,,,,,,,Amber Hopf,24.0,,,MH,,,,,So.,,,,2014 Women\'s Volleyball Roster
24,,,,,,,,,Waverly,"Waverly, Ill.",5-10,,,,,,,Claire Duewer,25.0,,,OH,,,,,Fr.,,,,2014 Women\'s Volleyball Roster
25,,,,,,,,,Trinity,"Forest Park, Ill.",6-1,,,,,,,Jacqueline Kibir-Evans 1,26.0,,,MH,,,,,So.,,,,2014 Women\'s Volleyball Roster
26,,,,,,,,,Rockford Guilford,"Caledonia, Ill.",5-9,,,,,,,Amanda Livingston,29.0,,,OH,,,,,So.,,,,2014 Women\'s Volleyball Roster
0,,,,,,,,,,,,Providence Catholic,"Plainfield, Ill.",5-5,,,,,,Brandon Price 1,1,,RB,,165,,,,So.,,2014 Football Roster
1,,,,,,,,,,,,Prospect,"Mt. Prospect, Ill.",5-11,,,,,,Sam Frasco 2,2,,QB,,185,,,,Jr.,,2014 Football Roster
2,,,,,,,,,,,,Providence Catholic,"Homer Glen, Ill.",5-9,,,,,,Matt Lahey,3,,DB,,180,,,,Fr.,,2014 Football Roster
3,,,,,,,,,,,,Jesuit,"Brandon, Fla.",5-5,,,,,,Rhett Waldron,4,,P/K,,155,,,,Fr.,,2014 Football Roster
4,,,,,,,,,,,,Immaculate Conception,"Northlake, Ill.",6-0,,,,,,Jack Copher,5D,,QB,,175,,,,Fr.,,2014 Football Roster
5,,,,,,,,,,,,Assumption,"Davenport, Iowa",5-5,,,,,,James Hua,5,,RB,,175,,,,Fr.,,2014 Football Roster
6,,,,,,,,,,,,Brother Rice,"Chicago, Ill.",5-10,,,,,,Sal Perez,6,,WR,,190,,,,Fr.,,2014 Football Roster
7,,,,,,,,,,,,Buffalo Grove,"Arlington Heights, Ill.",5-10,,,,,,Jack Asquini 1,7,,LB,,215,,,,So.,,2014 Football Roster
8,,,,,,,,,,,,Naperville North,"Chicago, Ill.",5-9,,,,,,Antonio Owens 2,8,,WR,,165,,,,Sr.,,2014 Football Roster
9,,,,,,,,,,,,Waubonsie Valley,"Aurora, Ill.",6-1,,,,,,Eric Josupait 2,9,,WR,,185,,,,Sr.,,2014 Football Roster
10,,,,,,,,,,,,Glenbard South,"Glen Ellyn, Ill.",5-11,,,,,,Tyler Padera,10,,QB,,195,,,,Jr.,,2014 Football Roster
11,,,,,,,,,,,,Mt. Prospect,"Mt. Prospect, Ill.",5-11,,,,,,Luis Leguer,11D,,DB,,164,,,,Fr.,,2014 Football Roster
12,,,,,,,,,,,,Amboy,"Amboy, Ill.",6-1,,,,,,Tyson Powers,11,,QB,,185,,,,So.,,2014 Football Roster
13,,,,,,,,,,,,Yorkville,"Yorkville, Ill.",6-0,,,,,,Mike Ems,12D,,RB,,200,,,,Jr.,,2014 Football Roster
14,,,,,,,,,,,,Providence Catholic,"Plainfield, Ill.",6-1,,,,,,Chris Salazar 1,12,,QB,,215,,,,Jr.,,2014 Football Roster
15,,,,,,,,,,,,Peoria,"Peoria, Ill.",5-8,,,,,,Daniel Watson,13,,DB,,175,,,,So.,,2014 Football Roster
16,,,,,,,,,,,,Cornerstone Christian,"Broomfield, Colo.",6-2,,,,,,Jonathan Lemelin,15,,WR,,172,,,,Fr.,,2014 Football Roster
17,,,,,,,,,,,,Washington,"Washington, Ill.",6-2,,,,,,Colton Marshall,15D,,QB,,200,,,,Fr.,,2014 Football Roster
18,,,,,,,,,,,,V. Sue Cleveland,"Rio Rancho, N.M.",6-0,,,,,,John Bastian 1,16,,FS,,188,,,,So.,,2014 Football Roster
19,,,,*,,,,,,,,Batavia,"Batavia, Ill.",5-11,,,,,,Ben Fornek 2,17,,DB,,190,,,,Sr.,,2014 Football Roster
20,,,,,,,,,,,,Providence Catholic,"Manhattan, Ill.",5-10,,,,,,Sean Fitzgerald 1,18,,WR,,165,,,,Jr.,,2014 Football Roster
21,,,,,,,,,,,,Strake Jesuit,"Houston, Texas",6-1,,,,,,Robert Martin,19,,WR,,208,,,,So.,,2014 Football Roster
22,,,,,,,,,,,,Brother Martin,"New Orleans, La.",5-7,,,,,,Marcus Prince,20D,,RB,,165,,,,Fr.,,2014 Football Roster
23,,,,,,,,,,,,Minooka,"Channahon, Ill.",5-10,,,,,,Jacob Stytz,20,,P/K,,160,,,,Fr.,,2014 Football Roster
24,,,,,,,,,,,,Hersey,"Arlington Heights, Ill.",6-0,,,,,,Frank Kalble 1,21,,DB,,190,,,,Jr.,,2014 Football Roster
25,,,,,,,,,,,,Loyola Academy,"Mt. Prospect, Ill.",5-11,,,,,,Colin Skinner,22,,RB,,170,,,,So.,,2014 Football Roster
26,,,,,,,,,,,,Burlington Central,"Elgin, Ill.",5-10,,,,,,Tim Maroder 3,23,,DB,,200,,,,Sr.,,2014 Football Roster
27,,,,,,,,,,,,Ottawa,"Ottawa, Ill.",5-6,,,,,,Alex Hinrichs,24D,,RB,,145,,,,Fr.,,2014 Football Roster
28,,,,,,,,,,,,East Dubuque,"East Dubuque, Ill.",6-0,,,,,,Jacob Puls,24,,LB,,185,,,,Sr.,,2014 Football Roster
29,,,,,,,,,,,,John Hersey,"Arlington Heights, Ill.",5-11,,,,,,Grant Burke,25,,LB,,210,,,,Fr.,,2014 Football Roster
30,,,,,,,,,,,,Immaculate Conception,"Elmhurst, Ill.",5-9,,,,,,Randolph Leslie,26,,RB,,185,,,,Fr.,,2014 Football Roster
31,,,,,,,,,,,,Jacobs,"Algonquin, Ill.",5-9,,,,,,Josh Narvaez,27D,,DB,,170,,,,Fr.,,2014 Football Roster
32,,,,,,,,,,,,Brother Rice,"Chicago, Ill.",5-10,,,,,,Bobby Sullivan,27,,DB,,170,,,,Fr.,,2014 Football Roster
33,,,,,,,,,,,,Morton,"Morton, Ill.",5-9,,,,,,Riley Donald,28D,,WR,,180,,,,Fr.,,2014 Football Roster
34,,,,,,,,,,,,East Dubuque,"East Dubuque, Ill.",5-10,,,,,,Jared Puls,28,,RB,,175,,,,Sr.,,2014 Football Roster
35,,,,,,,,,,,,Evanston Township,"Evanston, Ill.",5-11,,,,,,Justin Bishop,29,,RB,,215,,,,So.,,2014 Football Roster
36,,,,,,,,,,,,Urban Prep,"Chicago, Ill.",5-9,,,,,,Shavaun Grant,30,,DB,,149,,,,Jr.,,2014 Football Roster
37,,,,,,,,,,,,Romeoville,"Romeoville, Ill.",6-2,,,,,,Bo Goshorn 3,31,,DB,,195,,,,Sr.,,2014 Football Roster
38,,,,,,,,,,,,Nokomis,"Nokomis, Ill.",6-0,,,,,,Austin Chausse,32,,RB,,195,,,,Fr.,,2014 Football Roster
39,,,,,,,,,,,,Tampa Jesuit,"Tampa, Flo.",5-7,,,,,,Ryan Black,33,,RB,,190,,,,Fr.,,2014 Football Roster
40,,,,*,,,,,,,,St. Charles North,"Elburn, Ill.",5-7,,,,,,Benjamin Hodges 3,34,,RB,,190,,,,Sr.,,2014 Football Roster
41,,,,,,,,,,,,Marquette Academy,"Ottawa, Ill.",6-0,,,,,,Justin Dyche 2,35,,LB,,220,,,,Sr.,,2014 Football Roster
42,,,,,,,,,,,,Peotone,"Manhattan, Ill.",5-11,,,,,,Jeremy Lensing,36,,P/K,,199,,,,Jr.,,2014 Football Roster
43,,,,,,,,,,,,Marist,"Alsip, Ill.",5-7,,,,,,Marco Weidman,36D,,LB,,195,,,,Fr.,,2014 Football Roster
44,,,,,,,,,,,,Conifer,"Morrison, Colo.",5-11,,,,,,Conner Murray 2,37,,K/P,,190,,,,Sr.,,2014 Football Roster
45,,,,,,,,,,,,Central,"Joliet, Ill.",5-8,,,,,,Boaz Phillips,37D,,LB,,176,,,,Fr.,,2014 Football Roster
46,,,,,,,,,,,,Kewanee,"Kewanee, Ill.",5-9,,,,,,Ryan Hicks,38,,LB,,190,,,,Fr.,,2014 Football Roster
47,,,,,,,,,,,,Prairie Ridge,"Crystal Lake, Ill.",5-11,,,,,,Danny Giffels,39D,,LB,,225,,,,Fr.,,2014 Football Roster
48,,,,,,,,,,,,Mt. Zion,"Mt. Zion, Ill.",5-9,,,,,,Jacob Smith 1,39,,RB,,205,,,,Sr.,,2014 Football Roster
49,,,,,,,,,,,,Warren,"Gurnee, Ill.",6-0,,,,,,Erik Johnson 1,40,,LB,,200,,,,So.,,2014 Football Roster
50,,,,,,,,,,,,Mount Carmel,"Chicago, Ill.",6-0,,,,,,Brendan Griffin,41,,TE,,185,,,,Fr.,,2014 Football Roster
51,,,,,,,,,,,,East Dubuque,"East Dubuque, Iowa",6-0,,,,,,Jonah Puls,42,,LB,,215,,,,Fr.,,2014 Football Roster
52,,,,,,,,,,,,Joliet Catholic Academy,"Morris, Ill.",5-11,,,,,,Ben Hart,43,,RB,,230,,,,Fr.,,2014 Football Roster
53,,,,,,,,,,,,La Salle-Peru,"Peru, Ill.",6-0,,,,,,Luke Kowalczyk 1,44,,LB,,210,,,,Sr.,,2014 Football Roster
54,,,,,,,,,,,,Romeoville,"Romeoville, Ill.",6-0,,,,,,Joaquin Ricaurte,45D,,DL,,250,,,,Fr.,,2014 Football Roster
55,,,,,,,,,,,,Huntley,"Huntley, Ill.",6-2,,,,,,Josh Symbal,45,,LB,,210,,,,Jr.,,2014 Football Roster
56,,,,,,,,,,,,Ottawa,"Ottawa, Ill.",5-11,,,,,,Austin Burant,46,,DB,,191,,,,So.,,2014 Football Roster
57,,,,,,,,,,,,Rock Island,"Rock Island, Ill.",5-11,,,,,,Travon Aldridge,47,,DB,,172,,,,Fr.,,2014 Football Roster
58,,,,,,,,,,,,Joliet Catholic Academy,"Bolingbrook, Ill.",5-9,,,,,,Nick Bolek,48,,DL,,225,,,,Fr.,,2014 Football Roster
59,,,,,,,,,,,,Geneseo,"Geneseo, Ill.",5-10,,,,,,Michael Daniels 1,49,,LB,,215,,,,So.,,2014 Football Roster
60,,,,,,,,,,,,Richwoods,"Peoria, Ill.",5-10,,,,,,Keith King Jr.,50,,DE,,235,,,,Fr.,,2014 Football Roster
61,,,,,,,,,,,,Prairie Central,"Chenoa, Ill.",5-10,,,,,,Jack Malone,50D,,DE,,190,,,,Fr.,,2014 Football Roster
62,,,,,,,,,,,,Westminster Christian,"St. Louis, Mo.",6-0,,,,,,Jesse Gruneisen,51,,LB,,220,,,,So.,,2014 Football Roster
63,,,,,,,,,,,,Colonial,"Orlando, Fla.",5-11,,,,,,Grant McFadden,51D,,LB,,205,,,,Fr.,,2014 Football Roster
64,,,,,,,,,,,,Buffalo Grove,"Buffalo Grove, Ill.",6-1,,,,,,Michael Dax,52D,,LB,,205,,,,Fr.,,2014 Football Roster
65,,,,,,,,,,,,Millard West,"Omaha, Neb.",6-1,,,,,,Thomas Enke 2,52,,DE,,230,,,,Sr.,,2014 Football Roster
66,,,,,,,,,,,,Pioneer,"Ann Arbor, Mich.",5-11,,,,,,Brendan Vorobiev,54,,DE,,200,,,,Fr.,,2014 Football Roster
67,,,,,,,,,,,,Wauconda,"Island Lake, Ill.",6-3,,,,,,Nathan Magiera,55,,DE,,230,,,,Fr.,,2014 Football Roster
68,,,,,,,,,,,,Geneseo,"Geneseo, Ill.",6-1,,,,,,Anthony Roome 3,56,,OL,,255,,,,Sr.,,2014 Football Roster
69,,,,,,,,,,,,Immaculate Conception,"Addison, Ill.",5-9,,,,,,Sam Symeonides,56D,,DL,,178,,,,Fr.,,2014 Football Roster
70,,,,,,,,,,,,Richmond Burton,"Spring Grove, Ill.",6-2,,,,,,Chris Gort,57D,,OL,,245,,,,Fr.,,2014 Football Roster
71,,,,,,,,,,,,Genoa-Kingston,"Genoa, Ill.",6-2,,,,,,Sean McIntyre 3,57,,DE,,270,,,,Sr.,,2014 Football Roster
72,,,,,,,,,,,,Canton,"Canton, Ill.",6-0,,,,,,Nick Anderson,58,,OL,,275,,,,Fr.,,2014 Football Roster
73,,,,,,,,,,,,Providence Catholic,"Plainfield, Ill.",6-3,,,,,,Danny Hermosillo,59,,OL,,240,,,,Fr.,,2014 Football Roster
74,,,,,,,,,,,,Arbor View,"Las Vegas, Nev.",6-2,,,,,,Frank Johnson II,60,,OC,,270,,,,So.,,2014 Football Roster
75,,,,,,,,,,,,Lotus School for Excellence,"Denver, Colo.",5-7,,,,,,Demetrius Jones,60D,,DL,,215,,,,Fr.,,2014 Football Roster
76,,,,,,,,,,,,Wauconda,"Wauconda, Ill.",6-0,,,,,,David Lowe,61,,OL,,242,,,,So.,,2014 Football Roster
77,,,,,,,,,,,,Geneva,"Geneva, Ill.",5-11,,,,,,Ryan Powers,62,,OL,,265,,,,Fr.,,2014 Football Roster
78,,,,,,,,,,,,Sterling,"Sterling, Ill.",6-0,,,,,,Matt Spaulding,63,,OL,,285,,,,Fr.,,2014 Football Roster
79,,,,,,,,,,,,Mercer County,"New Boston, Ill.",6-3,,,,,,Matt Zimmerman 1,64,,OL,,265,,,,So.,,2014 Football Roster
80,,,,,,,,,,,,Morton,"Morton, Ill.",6-1,,,,,,Jon Losen 1,65,,OL,,273,,,,Sr.,,2014 Football Roster
81,,,,,,,,,,,,St. Charles East,"St. Charles, Ill.",6-3,,,,,,Tommy Wilson,66,,OL,,270,,,,So.,,2014 Football Roster
82,,,,,,,,,,,,Prairie Ridge,"Crystal Lake, Ill.",6-0,,,,,,Bennett Tomlin,67,,OC,,280,,,,Fr.,,2014 Football Roster
83,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",6-2,,,,,,Ryan McCarthy,68,,OL,,240,,,,So.,,2014 Football Roster
84,,,,,,,,,,,,Rock Falls,"Rock Falls, Ill.",6-2,,,,,,Jonas Robbins,69,,OL,,300,,,,So.,,2014 Football Roster
85,,,,,,,,,,,,Christian Life Center,"Machesney Park, Ill.",6-0,,,,,,Zach Stanphill,70D,,DE,,205,,,,Fr.,,2014 Football Roster
86,,,,,,,,,,,,Milledgeville,"Milledgeville, Ill.",6-3,,,,,,Douglas Williams,70,,OL,,253,,,,So.,,2014 Football Roster
87,,,,,,,,,,,,Parkway Central,"Chesterfield, Mo.",6-1,,,,,,Brantley Lohkamp,71,,OL,,260,,,,Fr.,,2014 Football Roster
88,,,,,,,,,,,,United Township,"East Moline, Ill.",6-8,,,,,,Avery Pearl,72,,OL,,360,,,,Fr.,,2014 Football Roster
89,,,,,,,,,,,,Christian Life,"Rockford, Ill.",5-10,,,,,,Kenny Saunders,72D,,OL,,250,,,,Fr.,,2014 Football Roster
90,,,,,,,,,,,,Wilmington,"Wilmington, Ill.",6-0,,,,,,Josh Fowler,73,,OL,,275,,,,So.,,2014 Football Roster
91,,,,,,,,,,,,Logan,"La Crosse, Wis.",6-5,,,,,,Matt Kolman,74,,OL,,300,,,,Fr.,,2014 Football Roster
92,,,,,,,,,,,,Rockwood Summit,"Fenton, Mo.",6-2,,,,,,RJ Moses,75,,OL,,280,,,,Fr.,,2014 Football Roster
93,,,,,,,,,,,,Oswego,"Oswego, Ill.",6-5,,,,,,Andrew Kraus,76,,OL,,280,,,,Fr.,,2014 Football Roster
94,,,,,,,,,,,,Saint Joseph Catholic Academy,"Kenosha, Wis.",6-3,,,,,,Ethan Ehlers,77D,,OL,,320,,,,Fr.,,2014 Football Roster
95,,,,,,,,,,,,Lyons Township,"LaGrange, Ill.",6-1,,,,,,Nick Stone 1,77,,OL,,279,,,,Sr.,,2014 Football Roster
96,,,,,,,,,,,,Plainfield South,"Plainfield, Ill.",6-1,,,,,,Greg Ferguson 2,78,,DL,,290,,,,Sr.,,2014 Football Roster
97,,,,,,,,,,,,Assumption,"Rock Island, Ill.",5-11,,,,,,Roman Shepard 1,80,,WR,,170,,,,Sr.,,2014 Football Roster
98,,,,,,,,,,,,Sterling,"Sterling, Ill.",6-1,,,,,,Alex Soriano,81,,TE,,215,,,,Fr.,,2014 Football Roster
99,,,,,,,,,,,,Smoky Hill,"Aurora, Colo.",6-1,,,,,,Maliek Combs,82,,WR,,182,,,,Jr.,,2014 Football Roster
100,,,,,,,,,,,,Central,"Davenport, Iowa",6-2,,,,,,Danny Oliger,83,,TE,,200,,,,Fr.,,2014 Football Roster
101,,,,,,,,,,,,Fenwick,"Riverside, Ill.",6-3,,,,,,Danny Lattner,84,,WR,,205,,,,So.,,2014 Football Roster
102,,,,,,,,,,,,West Leyden,"Melrose Park, Ill.",6-0,,,,,,Andrew Garcia,85,,WR,,175,,,,So.,,2014 Football Roster
103,,,,,,,,,,,,St. Edward,"Elgin, Ill.",6-2,,,,,,Robert French,86,,DB,,215,,,,Jr.,,2014 Football Roster
104,,,,,,,,,,,,Buffalo Grove,"Arlington Heights, Ill.",6-3,,,,,,Evan Murphy,86D,,WR,,185,,,,Fr.,,2014 Football Roster
105,,,,,,,,,,,,Central,"Clifton, Ill.",6-0,,,,,,Kyle Frake 2,87,,WR,,205,,,,Sr.,,2014 Football Roster
106,,,,,,,,,,,,LaSalle Peru Township,"Oglesby, Ill.",6-4,,,,,,Marty Riva,88,,WR,,205,,,,Sr.,,2014 Football Roster
107,,,,,,,,,,,,San Juan Hills,"San Antonio, Texas",6-4,,,,,,Brandon Leggett,89,,TE,,220,,,,Fr.,,2014 Football Roster
108,,,,,,,,,,,,Deer Creek-Mackinaw,"Mackinaw, Ill.",6-2,,,,,,Brandon Stiers 2,90,,DE,,240,,,,Jr.,,2014 Football Roster
109,,,,,,,,,,,,Lisle,"Lisle, Ill.",6-1,,,,,,William Loconsole,91,,LS,,195,,,,Fr.,,2014 Football Roster
110,,,,,,,,,,,,St. Joseph-Ogden,"St. Joseph, Ill.",6-0,,,,,,Josh Poulter,92,,LB,,200,,,,So.,,2014 Football Roster
111,,,,,,,,,,,,Providence Catholic,"Orland Park, Ill.",6-1,,,,,,Scott Hansen,93,,DE,,230,,,,Fr.,,2014 Football Roster
112,,,,,,,,,,,,Lincoln-Way West,"Mokena, Ill.",6-2,,,,,,Rafael Rodriguez II,94,,DE,,225,,,,Fr.,,2014 Football Roster
113,,,,,,,,,,,,Barrington Community,"South Barrington, Ill.",6-1,,,,,,Jack Bornhofen,95,,DE,,220,,,,Fr.,,2014 Football Roster
114,,,,,,,,,,,,Plano,"Plano, Ill.",5-11,,,,,,Zach Peruski,96,,OL,,210,,,,So.,,2014 Football Roster
115,,,,,,,,,,,,Plainfield East,"Bolingbrook, Ill.",6-0,,,,,,LaSalle Smith 1,98,,LB/DE,,220,,,,So.,,2014 Football Roster
116,,,,,,,,,,,,Cascade,"Coatesville, Ind.",6-3,,,,,,Lukas Stoutenour,99,,DL,,285,,,,Fr.,,2014 Football Roster
117,,,,,,,,,,,,Orion,"Orion, Ill.",6-0,,,,,,Colton Schulenberg,,,QB,,185,,,,So.,,2014 Football Roster
0,,,,,,,,,,,,Jacobs,"West Dundee, Ill.",,,,,,,Gabe Askam,,,,,,,,,Fr.,,2014-15  Men\'s Golf Roster
1,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",,,,,,,Max Channon 3,,,,,,,,,Sr.,,2014-15  Men\'s Golf Roster
2,,,,,,,,,,,,Peoria Notre Dame,"Dunlap, Ill.",,,,,,,David Ferlmann 2,,,,,,,,,Jr.,,2014-15  Men\'s Golf Roster
3,,,,*,,,,,,,,Lemont,"Lemont, Ill.",,,,,,,Jake Groselak 3,,,,,,,,,Sr.,,2014-15  Men\'s Golf Roster
4,,,,,,,,,,,,Lemont,"Lemont, Ill.",,,,,,,Ben Groselak,,,,,,,,,Fr.,,2014-15  Men\'s Golf Roster
5,,,,,,,,,,,,Beecher,"Beecher, Ill.",,,,,,,Nicholas Hermanson,,,,,,,,,So.,,2014-15  Men\'s Golf Roster
6,,,,,,,,,,,,Aquin,"Freeport, Ill.",,,,,,,Michael Jacobs,,,,,,,,,So.,,2014-15  Men\'s Golf Roster
7,,,,,,,,,,,,Dwight,"Dwight, Ill.",,,,,,,Kiefer Kious,,,,,,,,,So.,,2014-15  Men\'s Golf Roster
8,,,,,,,,,,,,Zion Benton,"Winthrop Harbor, Ill.",,,,,,,Josh Kukla 3,,,,,,,,,Sr.,,2014-15  Men\'s Golf Roster
9,,,,,,,,,,,,Dunlap,"Peoria, Ill.",,,,,,,Grant Murphy 3,,,,,,,,,Sr.,,2014-15  Men\'s Golf Roster
10,,,,,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Tanner Obal,,,,,,,,,So.,,2014-15  Men\'s Golf Roster
11,,,,,,,,,,,,Vernon Hills,"Vernon Hills, Ill.",,,,,,,Eric Swanson,,,,,,,,,So.,,2014-15  Men\'s Golf Roster
0,,,,,,,,,,,,Huntley,"Huntley, Ill.",5-9,,,,,,Nick Zielinski,1,,M,,128,,,,Fr.,,2015  Men\'s Lacrosse Roster
1,,,,*,,,,,,,,St. Charles East,"St. Charles, Ill.",5-5,,,,,,Colin Haley 3,2,,A,,140,,,,Sr.,,2015  Men\'s Lacrosse Roster
2,,,,,,,,,,,,Lincoln Park,"Chicago, Ill.",5-11,,,,,,Cody Speroff 1,4,,D,,175,,,,Jr.,,2015  Men\'s Lacrosse Roster
3,,,,,,,,,,,,Waukesha West,"Waukesha, Wis.",5-9,,,,,,Sam Will,6,,M,,160,,,,So.,,2015  Men\'s Lacrosse Roster
4,,,,,,,,,,,,Homewood-Flossmoor,"Flossmoor, Ill.",5-9,,,,,,Jerrell Collymore 1,8,,D,,170,,,,Jr.,,2015  Men\'s Lacrosse Roster
5,,,,,,,,,,,,Libertyville,"Libertyville, Ill.",6-3,,,,,,Ty Benson 2,9,,D,,170,,,,Sr.,,2015  Men\'s Lacrosse Roster
6,,,,,,,,,,,,Fremd,"Palatine, Ill.",5-8,,,,,,Jonathan Bryk 1,10,,M,,160,,,,Jr.,,2015  Men\'s Lacrosse Roster
7,,,,,,,,,,,,Owatonna,"Owatonna, Minn.",5-10,,,,,,Hayden Holland,11,,D,,175,,,,Fr.,,2015  Men\'s Lacrosse Roster
8,,,,,,,,,,,,Jacobs,"Algonquin, Ill.",5-11,,,,,,Alexander Crescenti 1,12,,M,,180,,,,Jr.,,2015  Men\'s Lacrosse Roster
9,,,,,,,,,,,,Montini Catholic,"Wheaton, Ill.",5-9,,,,,,JP Palasek,13,,M,,155,,,,So.,,2015  Men\'s Lacrosse Roster
10,,,,,,,,,,,,Arrowhead,"Hartland, Wis.",6-0,,,,,,Brad Anderson 2,14,,M,,170,,,,Sr.,,2015  Men\'s Lacrosse Roster
11,,,,,,,,,,,,Jacobs,"Algonquin, Ill.",5-11,,,,,,Jeremy Gottardo 3,15,,D,,165,,,,Sr.,,2015  Men\'s Lacrosse Roster
12,,,,,,,,,,,,Vernon Hills,"Vernon Hills, Ill.",5-10,,,,,,Tyler Amidei 1,16,,D,,170,,,,Jr.,,2015  Men\'s Lacrosse Roster
13,,,,,,,,,,,,Everett,"Everett, Wash.",5-11,,,,,,Jared Hawkins 1,17,,A/M,,190,,,,So.,,2015  Men\'s Lacrosse Roster
14,,,,,,,,,,,,Naperville Central,"Naperville, Ill.",5-11,,,,,,Ryan Nakamoto 2,18,,M,,170,,,,Sr.,,2015  Men\'s Lacrosse Roster
15,,,,,,,,,,,,Loyola Academy,"Chicago, Ill.",5-11,,,,,,Kevin Gleason 2,20,,A,,230,,,,Jr.,,2015  Men\'s Lacrosse Roster
16,,,,,,,,,,,,Holmen,"Holmen, Wis.",5-11,,,,,,Brady Welvaert 1,21,,A/M,,155,,,,So.,,2015  Men\'s Lacrosse Roster
17,,,,,,,,,,,,Archbishop Mitty,"San Jose, Calif.",5-10,,,,,,Vincent Giglierano 3,22,,M,,150,,,,Sr.,,2015  Men\'s Lacrosse Roster
18,,,,,,,,,,,,Eureka,"Eurkea, Mo.",6-1,,,,,,Jake DeBeir,23,,D,,195,,,,Fr.,,2015  Men\'s Lacrosse Roster
