,ID,FY,Area,Add1,City,STPostal,NPRZip5,NPRDisasterNo,DisasterDescription,County,Owner,ResType,DamageCat,DateClosed,StrucType,PartOfProj,ProjTitle,ProjID,Status,Action,ProjCounties,Grantee,Subgrantee,Type,NPRDateClosed,NPRPricePaid,NPRLatitude,NPRLongitude,NPRElevation
5120,2823,1993,HMGP,9396 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330486,-91.107285,540.93
5121,2824,1993,HMGP,9398 BANAZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328936999999996,-91.107316,543.52
5122,2825,1993,HMGP,9403 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5123,2826,1993,HMGP,9405 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330452,-91.10573000000001,542.68
5124,2827,1993,HMGP,9409 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328854,-91.10639,544.35
5125,2828,1993,HMGP,9413 BANAZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328663,-91.107845,543.49
5126,2829,1993,HMGP,9414 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.32888,-91.10779000000001,543.28
5127,2830,1993,HMGP,9426 166TH ST,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.298584000000005,-91.10937,542.96
5128,2831,1993,HMGP,9427 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5129,2832,1993,HMGP,9434 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5130,2833,1993,HMGP,9436 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330494,-91.1079,540.76
5131,2834,1993,HMGP,9441 PONDEROSA (LOTS 5 & 6),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5132,2835,1993,HMGP,9443 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330452,-91.10514,543.18
5133,2836,1993,HMGP,9443 CIMARRON ROAD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330452,-91.10514,543.18
5134,2837,1993,HMGP,9451 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.32885,-91.10596,545.02
5135,2838,1993,HMGP,9454 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5136,2839,1993,HMGP,9458 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.32888,-91.106094,544.74
5137,2840,1993,HMGP,9465 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5138,2841,1993,HMGP,9469 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.33045,-91.104744,543.7
5139,2842,1993,HMGP,9474 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328876,-91.10584,545.25
5140,2843,1993,HMGP,9476 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.330498,-91.10851,540.49
5141,2844,1993,HMGP,9483 CIMARRON RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.33045,-91.10453000000001,544.16
5142,2845,1993,HMGP,9487 PONDEROSA,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
5143,2846,1993,HMGP,9498 BANANZA RD,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328876,-91.10546,545.58
5144,2847,1993,HMGP,9719 F AVE,WAPELLO,IA,52653,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.199546999999995,-91.1145,540.5
5159,2862,1993,HMGP,"LOT 5 &12 LOT 5 & 12 BLK 2, SPITZNOGLE",MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.4288,-91.0445,632.25
5160,2863,1993,HMGP,LOT 5&6 SPITZNOGLE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.4288,-91.0445,632.25
5161,2864,1993,HMGP,LOT 5 CANNON & BATTERSON,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Muscatine,,,,9/23/1996,,Yes,MUSCATINE ACQUISITION PART 1 OF 2,DR-0996-0051-R,Closed,Acquisition,MUSCATINE,,MUSCATINE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,9/23/1996,,41.4288,-91.0445,632.25
5441,22263,2000,FMA,3107 SUNNYSIDE AVENUE,DAVENPORT,IA,52802,-PJ-,,Scott,"BAYERS, R. DARREN",Primary,0 - 49%,,Single Family,Yes,Residential Acqusition/Demolition - City of Davenport (Phase I),FMA-PJ-07IA-2000001,Approved,Acquisition,SCOTT,,"Davenport, City Of",200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,,31367.0,41.504771999999996,-90.620705,554.61
5442,22264,2000,FMA,3120 FAIR AVENUE,DAVENPORT,IA,52803,-PJ-,,Scott,"AFFAIR, SEC OF VETERANS",,0 - 49%,,Single Family,Yes,Residential Acqusition/Demolition - City of Davenport (Phase I),FMA-PJ-07IA-2000001,Approved,Acquisition,SCOTT,,"Davenport, City Of",200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,,56129.0,41.551903,-90.573204,629.95
5443,22265,2000,FMA,3131 SUNNYSIDE,DAVENPORT,IA,52802,-PJ-,,Scott,"MILLER, RONALD",,0 - 49%,,Single Family,Yes,Residential Acqusition/Demolition - City of Davenport (Phase I),FMA-PJ-07IA-2000001,Approved,Acquisition,SCOTT,,"Davenport, City Of",200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,,,41.50477,-90.62100000000001,555.19
5446,22822,2001,FMA,3123 KEOTA AVENUE,DAVENPORT,IA,52802,-PJ-,,Scott,"PARTNERS, LLC, OAK HELM",,0 - 49%,,Single Family,Yes,Residential Acquisition/Demonlition - City of Davenport (Phase II),FMA-PJ-07IA-2001001,Completed,Acquisition,SCOTT,,"Davenport, City Of",200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,,37955.0,41.50437,-90.6209,555.43
5447,22823,2001,FMA,3132 KEOTA AVE,DAVENPORT,IA,52801,-PJ-,,Scott,"LUEDERS, STEVEN",Primary,,,Single Family,Yes,Residential Acquisition/Demonlition - City of Davenport (Phase II),FMA-PJ-07IA-2001001,Completed,Acquisition,SCOTT,,"Davenport, City Of",200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,,29443.0,41.5044,-90.621025,555.9
5451,22945,2001,HMGP,1315 GARDEN AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"HARMON, PATRICIA A",Rental,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,31363.0,41.504973,-90.62188499999999,556.82
5456,22950,2001,HMGP,1611 S. CONCORD,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MCNEFF, IVAN",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,65000.0,41.503005,-90.624274,560.44
5457,22951,2001,HMGP,2314 RIVER DR,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"GIEBELSTEIN, DONNA",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,43586.0,41.507108,-90.61093699999999,562.74
5458,22952,2001,HMGP,3103 ORCHARD AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"GOYETTE, WILLIAM",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,50000.0,41.505563,-90.620751,555.95
5459,22953,2001,HMGP,3107 KEOTA AVENUE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"PEIFFER, EUGENE",Rental,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,31496.0,41.503863,-90.620847,556.69
5460,22954,2001,HMGP,3108 SUNNYSIDE AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"FIRST FINANCIAL, GROUP",Rental,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,30601.0,41.504798,-90.62088299999999,555.13
5461,22955,2001,HMGP,3120 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"LUEDERS, SHELLY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,39567.0,41.503997999999996,-90.62133100000001,556.62
5462,22956,2001,HMGP,3120 SUNNYSIDE AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"FIRST FINANCIAL, GROUP",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,29730.0,41.504798,-90.62133,555.79
5463,22957,2001,HMGP,3127 DAISY AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"DAUFELDT, DONALD",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,20510.0,41.502263,-90.621827,558.39
5464,22958,2001,HMGP,3127 SUNNYSIDE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"DANDRIDGE, CHAD",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,43439.0,41.50478,-90.620932,555.19
5465,22959,2001,HMGP,3131 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"LUEDERS, JOAN",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,45508.0,41.503944,-90.621771,555.62
5466,22960,2001,HMGP,3132 FAIR AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MOCK, GARY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,66314.0,41.552012,-90.57325300000001,630.28
5467,22961,2001,HMGP,3132 PANSY,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"ELMORE, DORA",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,38502.0,41.503168,-90.621041,557.47
5468,22962,2001,HMGP,3204 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"EDLER, LESTER W",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,32198.0,41.503997999999996,-90.62209200000001,556.82
5469,22963,2001,HMGP,3207 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"COZAD, BERDETTE",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,30069.0,41.503863,-90.622225,557.37
5470,22964,2001,HMGP,3210 PANSY,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"BEANE, LOIS",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,84664.0,41.503169,-90.622123,556.13
5471,22965,2001,HMGP,3215 KEOTA,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MCFADDEN, ART",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,40208.0,41.503961,-90.62227800000001,556.16
5472,22966,2001,HMGP,3216 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MCFARLAND, LARRY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,47105.0,41.503997999999996,-90.62253199999999,557.74
5473,22967,2001,HMGP,3219 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MCFADDEN, ART & DONITA",Not Applicable,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,47638.0,41.503944,-90.622681,556.01
5474,22968,2001,HMGP,3220 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"ALLEN, SHIRLEY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,39749.0,41.503997999999996,-90.622681,557.74
5475,22969,2001,HMGP,3223 PANSY AVENUE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"KITZMAN, RONALD",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,48485.0,41.503133,-90.622831,557.07
5476,22970,2001,HMGP,3224 PANSY AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"PHILLIPS, BEN  F",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,44000.0,41.503188,-90.622822,556.29
5477,22971,2001,HMGP,3225 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"LOBDELL, KENNETH F",Rental,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,36167.0,41.503944,-90.622831,556.81
5478,22972,2001,HMGP,3228 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"MCFADDEN, MARK E",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,33759.0,41.503997999999996,-90.62297099999999,557.41
5479,22973,2001,HMGP,3228 PANSY AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"GHEER, DARRELL",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,49605.0,41.503188,-90.62297099999999,556.57
5480,22974,2001,HMGP,3231 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"JETTER, RANDY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,53301.0,41.503944,-90.623042,556.79
5481,22975,2001,HMGP,3232 KEOTA,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"NILES, JAMES",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,26027.0,41.504137,-90.622739,558.34
5482,22976,2001,HMGP,3235 SUNNYSIDE AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"SINDT, JEFFREY L",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,43657.0,41.504743,-90.623262,558.12
5483,22977,2001,HMGP,3236 KEOTA AVE,DAVENPORT,IA,52801,1367,"SEVERE STORMS, TORNADOES AND FLOODING",Scott,"PERRIGO, MARY",Owner Occupied - Principal Residence,0 - 49%,6/1/2006,Single Family,Yes,DAVENPORT HOUSING BUYOU  01 FLOOD,DR-1367-0002-R,Closed,Acquisition,SCOTT,Statewide,Davenport City (Township of),200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,6/1/2006,36651.0,41.503988,-90.623262,557.77
